ID,Proficiency,Mindset,T1_Speaking,T2_Speaking,T3_Speaking,Uptake_Rate
1,65,3.8,56,68,64,0.62
2,62,3.2,52,62,58,0.45
3,58,2.8,48,58,52,0.38
4,72,4.2,61,75,71,0.78
5,67,3.5,55,65,61,0.55
6,55,2.5,46,55,49,0.32
7,69,4.0,58,72,68,0.72
8,63,3.1,53,63,59,0.48
9,60,2.9,51,61,55,0.42
10,75,4.5,63,78,74,0.85
11,64,3.3,54,64,60,0.52
12,66,3.6,56,67,63,0.58
13,52,2.2,45,54,48,0.25
14,71,4.1,60,74,70,0.75
15,68,3.7,57,68,64,0.61
16,59,3.0,50,60,56,0.44
17,67,3.8,56,67,63,0.63
18,65,3.4,55,66,62,0.57
19,56,2.6,47,56,51,0.35
20,73,4.3,62,76,72,0.8
21,62,3.2,53,63,59,0.49
22,70,3.9,59,73,69,0.7
23,57,2.7,47,57,51,0.39
24,72,4.2,61,75,71,0.77
25,66,3.6,56,67,63,0.59
26,61,3.1,52,62,58,0.47
27,68,3.8,57,68,64,0.64
28,64,3.4,54,64,60,0.56
29,54,2.4,46,56,50,0.33
30,74,4.4,63,77,73,0.83
31,63,3.2,54,64,60,0.51
32,67,3.7,57,68,64,0.6
33,60,3.0,51,61,57,0.45
34,72,4.2,61,75,71,0.76
35,68,3.8,57,68,64,0.62
36,58,2.8,48,58,54,0.39
37,70,4.0,59,73,69,0.73
38,66,3.6,56,67,63,0.6
39,62,3.1,53,63,59,0.48
40,75,4.6,64,79,75,0.88
41,63,3.3,54,64,60,0.52
42,67,3.8,57,68,64,0.61
43,53,2.3,46,55,50,0.28
44,71,4.1,60,74,70,0.76
45,68,3.7,57,68,64,0.61
46,60,3.0,51,61,57,0.46
47,68,3.8,57,68,64,0.64
48,65,3.5,55,66,62,0.58
49,55,2.5,46,56,51,0.34
50,73,4.3,62,76,72,0.81
51,62,3.2,53,63,59,0.49
52,70,3.9,59,73,69,0.71
53,57,2.7,47,57,51,0.39
54,72,4.2,61,75,71,0.77
55,66,3.6,56,67,63,0.6
56,61,3.1,52,62,58,0.48
57,68,3.8,57,68,64,0.65
58,64,3.4,54,64,60,0.57
59,54,2.4,46,56,50,0.34
60,74,4.4,63,77,73,0.84
61,63,3.2,54,64,60,0.51
62,67,3.7,57,68,64,0.6
63,60,3.0,51,61,57,0.45
64,72,4.2,61,75,71,0.77
65,68,3.8,57,68,64,0.63
66,58,2.8,48,58,54,0.4
67,70,4.0,59,73,69,0.74
68,66,3.6,56,67,63,0.61
69,62,3.1,53,63,59,0.49
70,75,4.6,64,79,75,0.89
71,63,3.3,54,64,60,0.52
72,67,3.8,57,68,64,0.62
73,53,2.3,46,55,50,0.29
74,71,4.1,60,74,70,0.77
75,68,3.7,57,68,64,0.62
76,60,3.0,51,61,57,0.47
77,68,3.8,57,68,64,0.65
78,65,3.5,55,66,62,0.59
79,55,2.5,46,56,51,0.35
80,73,4.3,62,76,72,0.82
81,62,3.2,53,63,59,0.5
82,70,3.9,59,73,69,0.72
83,57,2.7,47,57,51,0.4
84,72,4.2,61,75,71,0.78
85,66,3.6,56,67,63,0.61
86,61,3.1,52,62,58,0.49
87,68,3.8,57,68,64,0.66
88,64,3.4,54,64,60,0.58
89,54,2.4,46,56,50,0.35
90,74,4.4,63,77,73,0.85
91,63,3.2,54,64,60,0.52
92,67,3.7,57,68,64,0.61
93,60,3.0,51,61,57,0.46
94,72,4.2,61,75,71,0.78
95,68,3.8,57,68,64,0.64
96,58,2.8,48,58,54,0.41
97,70,4.0,59,73,69,0.75
98,66,3.6,56,67,63,0.62
99,62,3.1,53,63,59,0.5
100,75,4.6,64,79,75,0.9
101,63,3.3,54,64,60,0.53
102,67,3.8,57,68,64,0.63
103,53,2.3,46,55,50,0.3
104,71,4.1,60,74,70,0.78
105,68,3.7,57,68,64,0.63
106,60,3.0,51,61,57,0.48
107,68,3.8,57,68,64,0.66
108,65,3.5,55,66,62,0.6
109,55,2.5,46,56,51,0.36
110,73,4.3,62,76,72,0.83
111,62,3.2,53,63,59,0.51
112,70,3.9,59,73,69,0.73
113,57,2.7,47,57,51,0.41
114,72,4.2,61,75,71,0.79
115,66,3.6,56,67,63,0.62
116,61,3.1,52,62,58,0.5
117,68,3.8,57,68,64,0.67
118,64,3.4,54,64,60,0.59
119,54,2.4,46,56,50,0.36
120,74,4.4,63,77,73,0.86
