ID,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,Item_7,Item_8,Item_9,Item_10,Effort_Total,Malleability_Total,Mindset_Total,Mindset_Mean
1,5,4,5,4,5,4,5,4,5,5,,,,
2,3,3,4,3,3,3,4,3,3,3,,,,
3,2,2,3,2,2,3,2,2,2,2,,,,
4,5,5,5,5,5,5,5,5,5,5,,,,
5,4,3,4,4,4,3,4,4,4,4,,,,
6,2,1,2,2,2,1,2,2,1,2,,,,
7,4,4,5,4,4,4,5,4,4,4,,,,
8,3,4,3,3,3,4,3,3,3,3,,,,
9,3,2,3,3,2,3,3,2,3,3,,,,
10,5,5,4,5,5,5,4,5,5,5,,,,
11,3,3,3,3,3,3,3,3,3,3,,,,
12,4,4,4,4,4,4,4,4,4,4,,,,
13,2,2,2,2,2,2,2,2,2,2,,,,
14,5,4,5,4,5,4,5,4,5,5,,,,
15,4,3,4,3,4,3,4,3,4,4,,,,
16,3,2,3,2,3,2,3,2,3,3,,,,
17,4,4,4,4,4,4,4,4,4,4,,,,
18,4,3,4,4,3,4,4,3,4,4,,,,
19,2,2,1,2,2,1,2,2,1,2,,,,
20,5,5,5,5,5,5,5,5,5,5,,,,
21,3,3,4,3,3,3,4,3,3,3,,,,
22,4,4,5,4,4,4,5,4,4,4,,,,
23,2,2,3,2,2,3,2,2,2,2,,,,
24,5,4,5,4,5,4,5,4,5,5,,,,
25,4,4,3,4,4,4,3,4,4,4,,,,
26,3,3,2,3,3,2,3,3,3,3,,,,
27,4,4,4,4,4,4,4,4,4,4,,,,
28,4,3,4,3,4,3,4,3,4,3,,,,
29,2,1,2,2,1,2,2,1,2,2,,,,
30,5,5,5,5,5,5,5,5,5,5,,,,
31,3,3,3,3,3,3,3,3,3,3,,,,
32,4,4,4,4,4,4,4,4,4,4,,,,
33,3,2,3,2,3,2,3,2,3,3,,,,
34,5,4,5,4,5,4,5,4,5,4,,,,
35,4,4,4,4,4,4,4,4,4,4,,,,
36,2,3,2,3,2,3,2,3,2,3,,,,
37,4,4,5,4,4,4,5,4,4,5,,,,
38,4,3,4,3,4,3,4,3,4,4,,,,
39,3,3,2,3,3,2,3,3,3,3,,,,
40,5,5,5,5,5,5,5,5,5,5,,,,
41,3,3,3,3,3,3,3,3,3,3,,,,
42,4,4,4,4,4,4,4,4,4,4,,,,
43,2,2,2,2,2,2,2,2,2,2,,,,
44,5,4,5,4,5,4,5,4,5,5,,,,
45,4,3,4,3,4,3,4,3,4,4,,,,
46,3,2,3,2,3,2,3,2,3,3,,,,
47,4,4,4,4,4,4,4,4,4,4,,,,
48,4,3,4,4,3,4,4,3,4,4,,,,
49,2,2,1,2,2,1,2,2,1,2,,,,
50,5,5,5,5,5,5,5,5,5,5,,,,
51,3,3,4,3,3,3,4,3,3,3,,,,
52,4,4,5,4,4,4,5,4,4,4,,,,
53,2,2,3,2,2,3,2,2,2,2,,,,
54,5,4,5,4,5,4,5,4,5,5,,,,
55,4,4,3,4,4,4,3,4,4,4,,,,
56,3,3,2,3,3,2,3,3,3,3,,,,
57,4,4,4,4,4,4,4,4,4,4,,,,
58,4,3,4,3,4,3,4,3,4,3,,,,
59,2,1,2,2,1,2,2,1,2,2,,,,
60,5,5,5,5,5,5,5,5,5,5,,,,
61,3,3,3,3,3,3,3,3,3,3,,,,
62,4,4,4,4,4,4,4,4,4,4,,,,
63,3,2,3,2,3,2,3,2,3,3,,,,
64,5,4,5,4,5,4,5,4,5,4,,,,
65,4,4,4,4,4,4,4,4,4,4,,,,
66,2,3,2,3,2,3,2,3,2,3,,,,
67,4,4,5,4,4,4,5,4,4,5,,,,
68,4,3,4,3,4,3,4,3,4,4,,,,
69,3,3,2,3,3,2,3,3,3,3,,,,
70,5,5,5,5,5,5,5,5,5,5,,,,
71,3,3,3,3,3,3,3,3,3,3,,,,
72,4,4,4,4,4,4,4,4,4,4,,,,
73,2,2,2,2,2,2,2,2,2,2,,,,
74,5,4,5,4,5,4,5,4,5,5,,,,
75,4,3,4,3,4,3,4,3,4,4,,,,
76,3,2,3,2,3,2,3,2,3,3,,,,
77,4,4,4,4,4,4,4,4,4,4,,,,
78,4,3,4,4,3,4,4,3,4,4,,,,
79,2,2,1,2,2,1,2,2,1,2,,,,
80,5,5,5,5,5,5,5,5,5,5,,,,
81,3,3,4,3,3,3,4,3,3,3,,,,
82,4,4,5,4,4,4,5,4,4,4,,,,
83,2,2,3,2,2,3,2,2,2,2,,,,
84,5,4,5,4,5,4,5,4,5,5,,,,
85,4,4,3,4,4,4,3,4,4,4,,,,
86,3,3,2,3,3,2,3,3,3,3,,,,
87,4,4,4,4,4,4,4,4,4,4,,,,
88,4,3,4,3,4,3,4,3,4,3,,,,
89,2,1,2,2,1,2,2,1,2,2,,,,
90,5,5,5,5,5,5,5,5,5,5,,,,
91,3,3,3,3,3,3,3,3,3,3,,,,
92,4,4,4,4,4,4,4,4,4,4,,,,
93,3,2,3,2,3,2,3,2,3,3,,,,
94,5,4,5,4,5,4,5,4,5,4,,,,
95,4,4,4,4,4,4,4,4,4,4,,,,
96,2,3,2,3,2,3,2,3,2,3,,,,
97,4,4,5,4,4,4,5,4,4,5,,,,
98,4,3,4,3,4,3,4,3,4,4,,,,
99,3,3,2,3,3,2,3,3,3,3,,,,
100,5,5,5,5,5,5,5,5,5,5,,,,
101,3,3,3,3,3,3,3,3,3,3,,,,
102,4,4,4,4,4,4,4,4,4,4,,,,
103,2,2,2,2,2,2,2,2,2,2,,,,
104,5,4,5,4,5,4,5,4,5,5,,,,
105,4,3,4,3,4,3,4,3,4,4,,,,
106,3,2,3,2,3,2,3,2,3,3,,,,
107,4,4,4,4,4,4,4,4,4,4,,,,
108,4,3,4,4,3,4,4,3,4,4,,,,
109,2,2,1,2,2,1,2,2,1,2,,,,
110,5,5,5,5,5,5,5,5,5,5,,,,
111,3,3,4,3,3,3,4,3,3,3,,,,
112,4,4,5,4,4,4,5,4,4,4,,,,
113,2,2,3,2,2,3,2,2,2,2,,,,
114,5,4,5,4,5,4,5,4,5,5,,,,
115,4,4,3,4,4,4,3,4,4,4,,,,
116,3,3,2,3,3,2,3,3,3,3,,,,
117,4,4,4,4,4,4,4,4,4,4,,,,
118,4,3,4,3,4,3,4,3,4,3,,,,
119,2,1,2,2,1,2,2,1,2,2,,,,
120,5,5,5,5,5,5,5,5,5,5,,,,
