ID,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,Total
1,5,4,5,4,5,4,5,4,5,5,46
2,3,3,4,3,3,3,4,3,3,3,32
3,2,2,3,2,2,3,2,2,2,2,22
4,5,5,5,5,5,5,5,5,5,5,50
5,4,3,4,4,4,3,4,4,4,4,38
6,2,1,2,2,2,1,2,2,1,2,17
7,4,4,5,4,4,4,5,4,4,4,42
8,3,4,3,3,3,4,3,3,3,3,32
9,3,2,3,3,2,3,3,2,3,3,27
10,5,5,4,5,5,5,4,5,5,5,48
11,3,3,3,3,3,3,3,3,3,3,30
12,4,4,4,4,4,4,4,4,4,4,40
13,2,2,2,2,2,2,2,2,2,2,20
14,5,4,5,4,5,4,5,4,5,5,46
15,4,3,4,3,4,3,4,3,4,4,36
16,3,2,3,2,3,2,3,2,3,3,26
17,4,4,4,4,4,4,4,4,4,4,40
18,4,3,4,4,3,4,4,3,4,4,37
19,2,2,1,2,2,1,2,2,1,2,17
20,5,5,5,5,5,5,5,5,5,5,50
21,3,3,4,3,3,3,4,3,3,3,32
22,4,4,5,4,4,4,5,4,4,4,42
23,2,2,3,2,2,3,2,2,2,2,22
24,5,4,5,4,5,4,5,4,5,5,46
25,4,4,3,4,4,4,3,4,4,4,38
26,3,3,2,3,3,2,3,3,3,3,28
27,4,4,4,4,4,4,4,4,4,4,40
28,4,3,4,3,4,3,4,3,4,3,35
29,2,1,2,2,1,2,2,1,2,2,17
30,5,5,5,5,5,5,5,5,5,5,50
31,3,3,3,3,3,3,3,3,3,3,30
32,4,4,4,4,4,4,4,4,4,4,40
33,3,2,3,2,3,2,3,2,3,3,26
34,5,4,5,4,5,4,5,4,5,4,45
35,4,4,4,4,4,4,4,4,4,4,40
36,2,3,2,3,2,3,2,3,2,3,25
37,4,4,5,4,4,4,5,4,4,5,43
38,4,3,4,3,4,3,4,3,4,4,36
39,3,3,2,3,3,2,3,3,3,3,28
40,5,5,5,5,5,5,5,5,5,5,50
41,3,3,3,3,3,3,3,3,3,3,30
42,4,4,4,4,4,4,4,4,4,4,40
43,2,2,2,2,2,2,2,2,2,2,20
44,5,4,5,4,5,4,5,4,5,5,46
45,4,3,4,3,4,3,4,3,4,4,36
46,3,2,3,2,3,2,3,2,3,3,26
47,4,4,4,4,4,4,4,4,4,4,40
48,4,3,4,4,3,4,4,3,4,4,37
49,2,2,1,2,2,1,2,2,1,2,17
50,5,5,5,5,5,5,5,5,5,5,50
51,3,3,4,3,3,3,4,3,3,3,32
52,4,4,5,4,4,4,5,4,4,4,42
53,2,2,3,2,2,3,2,2,2,2,22
54,5,4,5,4,5,4,5,4,5,5,46
55,4,4,3,4,4,4,3,4,4,4,38
56,3,3,2,3,3,2,3,3,3,3,28
57,4,4,4,4,4,4,4,4,4,4,40
58,4,3,4,3,4,3,4,3,4,3,35
59,2,1,2,2,1,2,2,1,2,2,17
60,5,5,5,5,5,5,5,5,5,5,50
61,3,3,3,3,3,3,3,3,3,3,30
62,4,4,4,4,4,4,4,4,4,4,40
63,3,2,3,2,3,2,3,2,3,3,26
64,5,4,5,4,5,4,5,4,5,4,45
65,4,4,4,4,4,4,4,4,4,4,40
66,2,3,2,3,2,3,2,3,2,3,25
67,4,4,5,4,4,4,5,4,4,5,43
68,4,3,4,3,4,3,4,3,4,4,36
69,3,3,2,3,3,2,3,3,3,3,28
70,5,5,5,5,5,5,5,5,5,5,50
71,3,3,3,3,3,3,3,3,3,3,30
72,4,4,4,4,4,4,4,4,4,4,40
73,2,2,2,2,2,2,2,2,2,2,20
74,5,4,5,4,5,4,5,4,5,5,46
75,4,3,4,3,4,3,4,3,4,4,36
76,3,2,3,2,3,2,3,2,3,3,26
77,4,4,4,4,4,4,4,4,4,4,40
78,4,3,4,4,3,4,4,3,4,4,37
79,2,2,1,2,2,1,2,2,1,2,17
